|                                Parameters |                     0 |                      1 |   2 |                       3 |                       4 |   5 |                     6 |                      7 |   8 |                     9 |                 10 |  11 |  12 |                   13 |                    14 |  15 |
|       3FGL_J1325.4-4301_pl.spectral.index | 0.0008559235190863969 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   3FGL_J1325.4-4301_pl.spectral.amplitude |                   0.0 | 1.6521540975097832e-24 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   3FGL_J1325.4-4301_pl.spectral.reference |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|                  model-fit.spectral.index |                   0.0 |                    0.0 | 0.0 |   0.0003572736749166719 | -2.4891000768308346e-16 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|              model-fit.spectral.amplitude |                   0.0 |                    0.0 | 0.0 | -2.4891000768308346e-16 |  3.4685348790061194e-26 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|              model-fit.spectral.reference |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|       4FGL_J1325.5-4300_pl.spectral.index |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0003572736749166719 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   4FGL_J1325.5-4300_pl.spectral.amplitude |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 | 3.4685348790061194e-26 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   4FGL_J1325.5-4300_pl.spectral.reference |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
| 2FHL_J1325.6-4301_pl-2.spectral.amplitude |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 7.056000526478329e-23 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|     2FHL_J1325.6-4301_pl-2.spectral.index |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 | 0.6400000190734865 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|      2FHL_J1325.6-4301_pl-2.spectral.emin |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|      2FHL_J1325.6-4301_pl-2.spectral.emax |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|       3FHL_J1325.5-4300_pl.spectral.index |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 | 0.049546765575794405 |                   0.0 | 0.0 |
|   3FHL_J1325.5-4300_pl.spectral.amplitude |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 | 3.064333759909196e-25 | 0.0 |
|   3FHL_J1325.5-4300_pl.spectral.reference |                   0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
