|                               Parameters |                   0 |                     1 |   2 |                      3 |                      4 |   5 |                     6 |                      7 |   8 |                  9 |                    10 |  11 |
|      3FGL_J0322.5-3721_pl.spectral.index | 0.01136866779497675 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|  3FGL_J0322.5-3721_pl.spectral.amplitude |                 0.0 | 4.542754149832923e-27 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|  3FGL_J0322.5-3721_pl.spectral.reference |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|                 model-fit.spectral.index |                 0.0 |                   0.0 | 0.0 |  0.0019643981520106003 | -4.097144390403389e-18 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|             model-fit.spectral.amplitude |                 0.0 |                   0.0 | 0.0 | -4.097144390403389e-18 | 1.2825874158903324e-28 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|             model-fit.spectral.reference |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|     4FGL_J0322.6-3712e_pl.spectral.index |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0019643981520106003 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
| 4FGL_J0322.6-3712e_pl.spectral.amplitude |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 1.2825874158903324e-28 | 0.0 |                0.0 |                   0.0 | 0.0 |
| 4FGL_J0322.6-3712e_pl.spectral.reference |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
|     3FHL_J0322.6-3712e_pl.spectral.index |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.1348888237885717 |                   0.0 | 0.0 |
| 3FHL_J0322.6-3712e_pl.spectral.amplitude |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 | 9.598236100402688e-26 | 0.0 |
| 3FHL_J0322.6-3712e_pl.spectral.reference |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                   0.0 | 0.0 |
