|                                Parameters |                    0 |                      1 |   2 |                     3 |   4 |                     5 |                     6 |                     7 |                   8 |   9 |  10 |                   11 |                    12 |  13 |
|       3FGL_J1230.9+1224_pl.spectral.index | 0.004294438970248393 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   3FGL_J1230.9+1224_pl.spectral.amplitude |                  0.0 | 1.2323909478847456e-27 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   3FGL_J1230.9+1224_pl.spectral.reference |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   4FGL_J1230.8+1223_lp.spectral.amplitude |                  0.0 |                    0.0 | 0.0 | 3.672300435092713e-27 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|   4FGL_J1230.8+1223_lp.spectral.reference |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|       4FGL_J1230.8+1223_lp.spectral.alpha |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0019287758826842666 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|        4FGL_J1230.8+1223_lp.spectral.beta |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0003445764121524954 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
| 2FHL_J1230.8+1225_pl-2.spectral.amplitude |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 9.235210568017518e-23 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|     2FHL_J1230.8+1225_pl-2.spectral.index |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.40959998168945333 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|      2FHL_J1230.8+1225_pl-2.spectral.emin |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|      2FHL_J1230.8+1225_pl-2.spectral.emax |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
|       3FHL_J1230.8+1223_pl.spectral.index |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 | 0.036203758504443906 |                   0.0 | 0.0 |
|   3FHL_J1230.8+1223_pl.spectral.amplitude |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 | 3.670578406885561e-26 | 0.0 |
|   3FHL_J1230.8+1223_pl.spectral.reference |                  0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                 0.0 | 0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |
