|                                Parameters |                     0 |   1 |                     2 |                     3 |                      4 |   5 |                     6 |                      7 |                     8 |                  9 |  10 |  11 |                    12 |                    13 |  14 |
|   3FGL_J0319.8+4130_lp.spectral.amplitude | 1.681150984278061e-24 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|   3FGL_J0319.8+4130_lp.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       3FGL_J0319.8+4130_lp.spectral.alpha |                   0.0 | 0.0 | 0.0001994851523967828 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|        3FGL_J0319.8+4130_lp.spectral.beta |                   0.0 | 0.0 |                   0.0 | 4.357495580307341e-05 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|   4FGL_J0319.8+4130_lp.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 | 1.5575371223486399e-25 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|   4FGL_J0319.8+4130_lp.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       4FGL_J0319.8+4130_lp.spectral.alpha |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 | 4.381241074658177e-05 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|        4FGL_J0319.8+4130_lp.spectral.beta |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 | 1.2409664148121653e-05 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| 2FHL_J0319.8+4131_pl-2.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 1.690000099251214e-22 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|     2FHL_J0319.8+4131_pl-2.spectral.index |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 | 0.2703999801635746 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      2FHL_J0319.8+4131_pl-2.spectral.emin |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      2FHL_J0319.8+4131_pl-2.spectral.emax |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       3FHL_J0319.8+4130_pl.spectral.index |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 | 0.0076336967014856705 |                   0.0 | 0.0 |
|   3FHL_J0319.8+4130_pl.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 | 7.015740623052252e-24 | 0.0 |
|   3FHL_J0319.8+4130_pl.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
