|                                Parameters |                     0 |   1 |                     2 |                     3 |                     4 |   5 |                       6 |                       7 |                     8 |   9 |                    10 |                    11 |                    12 |                 13 |  14 |  15 |                    16 |                    17 |  18 |
|   3FGL_J0319.8+4130_lp.spectral.amplitude | 1.681150984278061e-24 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|   3FGL_J0319.8+4130_lp.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       3FGL_J0319.8+4130_lp.spectral.alpha |                   0.0 | 0.0 | 0.0001994851523967828 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|        3FGL_J0319.8+4130_lp.spectral.beta |                   0.0 | 0.0 |                   0.0 | 4.357495580307341e-05 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              model-fit.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 | 8.599649363894754e-26 | 0.0 |   -6.84632376076453e-17 |   3.094294467207186e-16 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              model-fit.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                  model-fit.spectral.alpha |                   0.0 | 0.0 |                   0.0 |                   0.0 | -6.84632376076453e-17 | 0.0 |   5.345724090742988e-05 | -1.3836457332875472e-05 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                   model-fit.spectral.beta |                   0.0 | 0.0 |                   0.0 |                   0.0 | 3.094294467207186e-16 | 0.0 | -1.3836457332875472e-05 |   8.174280756092084e-06 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|   4FGL_J0319.8+4130_lp.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 8.599649363894754e-26 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|   4FGL_J0319.8+4130_lp.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       4FGL_J0319.8+4130_lp.spectral.alpha |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 5.345724090742988e-05 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|        4FGL_J0319.8+4130_lp.spectral.beta |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 | 8.174280756092084e-06 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| 2FHL_J0319.8+4131_pl-2.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 1.690000099251214e-22 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|     2FHL_J0319.8+4131_pl-2.spectral.index |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.2703999801635746 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      2FHL_J0319.8+4131_pl-2.spectral.emin |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      2FHL_J0319.8+4131_pl-2.spectral.emax |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       3FHL_J0319.8+4130_pl.spectral.index |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 | 0.0076336967014856705 |                   0.0 | 0.0 |
|   3FHL_J0319.8+4130_pl.spectral.amplitude |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 | 7.015740623052252e-24 | 0.0 |
|   3FHL_J0319.8+4130_pl.spectral.reference |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
