|                                Parameters |                      0 |   1 |                      2 |                      3 |                      4 |   5 |                      6 |                      7 |                     8 |   9 |                     10 |                     11 |                    12 |                    13 |  14 |  15 |                     16 |                     17 |  18 |
|              model-fit.spectral.amplitude |  1.788098675360605e-25 | 0.0 |  9.688167253274866e-16 | 2.5597870456347505e-16 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              model-fit.spectral.reference |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                  model-fit.spectral.alpha |  9.688167253274866e-16 | 0.0 | 0.00011847130700693127 | -3.273337455732815e-05 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                   model-fit.spectral.beta | 2.5597870456347505e-16 | 0.0 | -3.273337455732815e-05 | 1.6619162347461844e-05 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|   3FGL_J0319.8+4130_lp.spectral.amplitude |                    0.0 | 0.0 |                    0.0 |                    0.0 | 1.2785281763515035e-24 | 0.0 | -2.819279160011986e-15 | 2.9931769209131124e-15 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|   3FGL_J0319.8+4130_lp.spectral.reference |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       3FGL_J0319.8+4130_lp.spectral.alpha |                    0.0 | 0.0 |                    0.0 |                    0.0 | -2.819279160011986e-15 | 0.0 | 0.00019797701466196745 | -5.668192020927097e-05 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|        3FGL_J0319.8+4130_lp.spectral.beta |                    0.0 | 0.0 |                    0.0 |                    0.0 | 2.9931769209131124e-15 | 0.0 | -5.668192020927097e-05 |  3.449858026764638e-05 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|   4FGL_J0319.8+4130_lp.spectral.amplitude |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 1.788098675360605e-25 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|   4FGL_J0319.8+4130_lp.spectral.reference |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       4FGL_J0319.8+4130_lp.spectral.alpha |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.00011847130700693127 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|        4FGL_J0319.8+4130_lp.spectral.beta |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 | 1.6619162347461844e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| 2FHL_J0319.8+4131_pl-2.spectral.amplitude |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 2.115999873041793e-22 | 7.491008195589798e-12 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     2FHL_J0319.8+4131_pl-2.spectral.index |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 7.491008195589798e-12 |    0.7091515758109805 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      2FHL_J0319.8+4131_pl-2.spectral.emin |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      2FHL_J0319.8+4131_pl-2.spectral.emax |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
