# %ECSV 1.0
# ---
# datatype:
# - {name: Frequency, unit: Hz, datatype: float64}
# - {name: e2dnde, unit: erg / (s cm2), datatype: float64}
# - {name: e2dnde_err, unit: erg / (s cm2), datatype: float64}
# - {name: e_ref, unit: eV, datatype: float64, format: .3e, description: energy of reference}
# meta: !!omap
# - {reference: 'https://www.mpi-hd.mpg.de/HESS/pages/publications/auxiliary/auxinfo_CenA_Extension.html'}
# schema: astropy-2.0
Frequency e2dnde e2dnde_err e_ref
3.22e+22 3.59e-11 8.69e-13 133168499.84094824
5.7e+22 2.7e-11 6.88e-13 235733058.72465995
1.01e+23 1.74e-11 5.6e-13 417702437.38930976
1.79e+23 1.05e-11 4.55e-13 740284517.7493708
3.17e+23 7.54e-12 4.21e-13 1311006659.9248633
5.62e+23 4.65e-12 3.94e-13 2324245245.671209
9.95e+23 4e-12 4.49e-13 4114989358.4392395
1.76e+24 3.29e-12 4.95e-13 7278775146.585992
3.12e+24 3.15e-12 6.5e-13 12903283214.40244
5.53e+24 2.45e-12 7.42e-13 22870242363.988937
2.18e+25 1.64e-12 5.26e-13 90157555792.94012
7.73e+25 3.04e-13 1.22e-13 319687112972.2143
1.13e+26 3.11e-13 8.7e-14 467330449752.39606
1.65e+26 3.55e-13 6.7e-14 682385169992.4368
2.4e+26 2.77e-13 6.3e-14 992560247261.7261
3.51e+26 1.82e-13 5.4e-14 1451619361620.2744
5.17e+26 1.32e-13 5.9e-14 2138140199309.635
7.56e+26 1.47e-13 6.3e-14 3126564778874.4375
1.45e+27 9.2e-14 4e-14 5996718160539.596
