No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,50 GeV-2 TeV (Fermi),3.29E-12,+/-2.29E-12,erg/cm^2^/s,2.48E26,1.33E-15,9.23E-16,9.23E-16,,,+/-9.23E-16,Jy,2016ApJS..222....5A,1 sigma,1.025 TeV,Broad-band measurement,201.4230 -43.0266 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,0.01-1 TeV (Fermi),7.41E-12,+/-1.90E-12,erg/cm^2^/s,1.22E26,6.07E-15,1.56E-15,1.56E-15,,,+/-1.56E-15,Jy,2017ApJS..232...18A,1 sigma,0.51 TeV,Broad-band measurement,201.376862 -43.013069 (J2000),From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,100 MeV-100 GeV LAT,7.95E-11,+/-5.8E-12,erg/s/cm^2^,1.21E25,6.57E-13,4.79E-14,4.79E-14,,,+/-4.79E-14,Jy,2010ApJS..188..405A,uncertainty,50050 MeV,Broad-band measurement,201.414 -43.011 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
4,0.1-100 GeV (Fermi),6.47E-11,+/-2.8E-12,erg/cm^2^/s,1.21E25,5.35E-13,2.31E-14,2.31E-14,,,+/-2.31E-14,Jy,2012ApJS..199...31N,1 sigma,50.05 GeV,Broad-band measurement,201.418 -43.015 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,0.1-100 GeV (Fermi),6.65E-11,+/-2.1E-12,erg/cm^2^/s,1.21E25,5.5E-13,1.74E-23,1.74E-23,,,+/-1.74E-23,Jy,2015ApJS..218...23A,1 sigma,50.05 GeV,Broad-band measurement,201.367 -43.030 (J2000),From fitting to map,Gamma=2.70; Mod=PL,From new raw data; NED frequency assigned to mid-point ofband in keV
6,189 MeV (EGRET),,<11.9400,log (Jy Hz),4.57E22,,,,1.91E-11,,<1.91E-11,Jy,2001PrivC.U..H....S,2 sigma,22.6600    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
7,187 MeV (EGRET),12.0357,+/-0.1672,log (Jy Hz),4.5199999999999996E22,2.4E-11,7.68E-12,7.68E-12,,,+/-7.68E-12,Jy,1998A&A...330...97S,uncertainty,22.6551    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
8,17.2 MeV (COMPTEL),13.5762,+/-0.2798,log (Jy Hz),4.15E21,9.09E-9,4.32E-9,4.32E-9,,,+/-4.32E-09,Jy,1998A&A...330...97S,uncertainty,21.6177    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
9,16.5 MeV (COMPTEL),13.8698,+/-0.2134,log (Jy Hz),3.99E21,1.86E-8,7.21E-9,7.21E-9,,,+/-7.21E-09,Jy,2001PrivC.U..H....S,uncertainty,21.6008    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
10,16.5 MeV (COMPTEL),,<13.4600,log (Jy Hz),3.98E21,,,,7.24E-9,,<7.24E-09,Jy,1998A&A...330...97S,2 sigma,21.6000    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
11,6.7 MeV (OSSE),13.4749,+/-0.7365,log (Jy Hz),1.56E21,1.91E-8,1.56E-8,1.56E-8,,,+/-1.56E-08,Jy,1999AdSpR..23..911S,uncertainty,21.1938    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
12,5.42 MeV (COMPTEL),13.4272,+/-0.4135,log (Jy Hz),1.31E21,2.04E-8,1.25E-8,1.25E-8,,,+/-1.25E-08,Jy,1998A&A...330...97S,uncertainty,21.1168    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
13,5.17 MeV (COMPTEL),13.6724,+/-0.1383,log (Jy Hz),1.25E21,3.77E-8,1.03E-8,1.03E-8,,,+/-1.03E-08,Jy,2001PrivC.U..H....S,uncertainty,21.0966    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
14,5.1 MeV (COMPTEL),13.34,+/-0.5600,log (Jy Hz),1.23E21,1.78E-8,1.29E-8,1.29E-8,,,+/-1.29E-08,Jy,1998A&A...330...97S,uncertainty,21.0900    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
15,3.44 MeV (OSSE),,<14.1651,log (Jy Hz),8.31E20,,,,1.76E-7,,<1.76E-07,Jy,1999AdSpR..23..911S,2 sigma,20.9196    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
16,3.13 MeV (OSSE),,<13.9681,log (Jy Hz),7.55E20,,,,1.23E-7,,<1.23E-07,Jy,1998A&A...330...97S,2 sigma,20.8782    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
17,2.06 MeV (OSSE),,<14.0668,log (Jy Hz),4.98E20,,,,2.34E-7,,<2.34E-07,Jy,1999AdSpR..23..911S,2 sigma,20.6975    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
18,1.72 MeV (COMPTEL),,<13.6176,log (Jy Hz),4.15E20,,,,1.0E-7,,<1.00E-07,Jy,1998A&A...330...97S,2 sigma,20.6177    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
19,1.65 MeV (COMPTEL),13.4387,+/-0.1559,log (Jy Hz),3.99E20,6.88E-8,2.08E-8,2.08E-8,,,+/-2.08E-08,Jy,2001PrivC.U..H....S,uncertainty,20.6008    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
20,1.7 MeV (COMPTEL),13.6,+/-0.2200,log (Jy Hz),3.98E20,1.0E-7,3.97E-8,3.97E-8,,,+/-3.97E-08,Jy,1998A&A...330...97S,uncertainty,20.6000    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
21,1.60 MeV (OSSE),,<14.0305,log (Jy Hz),3.87E20,,,,2.77E-7,,<2.77E-07,Jy,1998A&A...330...97S,2 sigma,20.5878    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
22,1.08 MeV (OSSE),,<13.7287,log (Jy Hz),2.6E20,,,,2.06E-7,,<2.06E-07,Jy,1999AdSpR..23..911S,2 sigma,20.4150    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
23,977.0 keV (OSSE),,<13.7163,log (Jy Hz),2.36E20,,,,2.21E-7,,<2.21E-07,Jy,1998A&A...330...97S,2 sigma,20.3729    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
24,0.87 MeV (COMPTEL),13.8947,+/-0.2984,log (Jy Hz),2.09E20,3.75E-7,1.86E-7,1.86E-7,,,+/-1.86E-07,Jy,1998A&A...330...97S,uncertainty,20.3207    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
25,0.86 MeV (COMPTEL),,<13.8100,log (Jy Hz),2.09E20,,,,3.09E-7,,<3.09E-07,Jy,1998A&A...330...97S,2 sigma,20.3200    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
26,0.86 MeV (COMPTEL),13.9689,+/-0.0928,log (Jy Hz),2.09E20,4.46E-7,8.58E-8,8.58E-8,,,+/-8.58E-08,Jy,2001PrivC.U..H....S,uncertainty,20.3195    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
27,704.0 keV (OSSE),13.9494,+/-0.1017,log (Jy Hz),1.7E20,5.23E-7,1.09E-7,1.09E-7,,,+/-1.09E-07,Jy,1998A&A...330...97S,uncertainty,20.2306    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
28,543.5 keV (OSSE),13.6511,+/-0.1429,log (Jy Hz),1.31E20,3.41E-7,9.56E-8,9.56E-8,,,+/-9.56E-08,Jy,1999AdSpR..23..911S,uncertainty,20.1182    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
29,523.4 keV (OSSE),13.7221,+/-0.1027,log (Jy Hz),1.26E20,4.17E-7,8.79E-8,8.79E-8,,,+/-8.79E-08,Jy,1998A&A...330...97S,uncertainty,20.1018    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
30,381.2 keV (OSSE),13.8427,+/-0.0324,log (Jy Hz),9.21E19,7.56E-7,5.44E-8,5.44E-8,,,+/-5.44E-08,Jy,1998A&A...330...97S,uncertainty,19.9641    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
31,BATSE 366.6 keV,13.8269,+/-0.3698,log (Jy Hz),8.86E19,7.58E-7,4.35E-7,4.35E-7,,,+/-4.35E-07,Jy,2001PrivC.U..H....S,uncertainty,19.9472    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
32,333.3 keV (OSSE),13.2114,+/-0.2166,log (Jy Hz),8.05E19,2.02E-7,7.94E-8,7.94E-8,,,+/-7.94E-08,Jy,1999AdSpR..23..911S,uncertainty,19.9059    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
33,293.8 keV (OSSE),13.8719,+/-0.0309,log (Jy Hz),7.1E19,1.05E-6,7.2E-8,7.2E-8,,,+/-7.20E-08,Jy,1998A&A...330...97S,uncertainty,19.8511    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
34,BATSE 268.8 keV,13.7559,+/-0.2509,log (Jy Hz),6.49E19,8.78E-7,3.85E-7,3.85E-7,,,+/-3.85E-07,Jy,2001PrivC.U..H....S,uncertainty,19.8124    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
35,246.9 keV (OSSE),13.889,+/-0.0230,log (Jy Hz),5.96E19,1.3E-6,6.7E-8,6.7E-8,,,+/-6.70E-08,Jy,1998A&A...330...97S,uncertainty,19.7755    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
36,246.4 keV (OSSE),13.7047,+/-0.0539,log (Jy Hz),5.95E19,8.51E-7,9.94E-8,9.94E-8,,,+/-9.94E-08,Jy,1999AdSpR..23..911S,uncertainty,19.7746    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
37,210.5 keV (OSSE),13.8968,+/-0.0234,log (Jy Hz),5.09E19,1.55E-6,8.13E-8,8.13E-8,,,+/-8.13E-08,Jy,1998A&A...330...97S,uncertainty,19.7063    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
38,202.7 keV (OSSE),13.7424,+/-0.0634,log (Jy Hz),4.9E19,1.13E-6,1.53E-7,1.53E-7,,,+/-1.53E-07,Jy,1999AdSpR..23..911S,uncertainty,19.6899    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
