No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,0.01-1 TeV (Fermi),9.55E-12,+/-3.26E-12,erg/cm^2^/s,1.22E26,7.83E-15,2.67E-15,2.67E-15,,,+/-2.67E-15,Jy,2017ApJS..232...18A,1 sigma,0.51 TeV,Broad-band measurement,187.703339 +12.388880 (J2000),From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,100 MeV-100 GeV LAT,1.75E-11,+/-3.8E-12,erg/s/cm^2^,1.21E25,1.45E-13,3.14E-14,3.14E-14,,,+/-3.14E-14,Jy,2010ApJS..188..405A,uncertainty,50050 MeV,Broad-band measurement,187.721 +12.394 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,0.1-100 GeV (Fermi),1.96E-11,+/-1.8E-12,erg/cm^2^/s,1.21E25,1.62E-13,1.49E-14,1.49E-14,,,+/-1.49E-14,Jy,2012ApJS..199...31N,1 sigma,50.05 GeV,Broad-band measurement,187.701 +12.406 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
4,20-60 keV (INTEGRAL),9.4E-12,+/-0.19E-11,erg/s/cm^2^,9.67E18,9.72E-8,1.96E-8,1.96E-8,,,+/-1.96E-08,Jy,2008A&A...485..707P,uncertainty,40.00 keV,Broad-band measurement,12 31 00 +12 21 28 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,4.5-12 keV (XMM),112.62,,mW/m^2^,1.99E18,5.66E-7,,,,,,Jy,2017MNRAS.471.2952M,no uncertainty reported,8.25 keV,Broad-band measurement,12 30 49.42 +12 23 28.03 (J2000),Not reported in paper,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
6,2-10 keV (Chandra),-11.75,,log(erg/cm^2^/s),1.45E18,1.23E-7,,,,,,Jy,2006A&A...460...45G,no uncertainty reported,6   keV,Broad-band measurement,12 30 49.4 +12 23 28.3 (J2000),Flux integrated from map,Estimated from empirical calibration,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,2-10 keV (Chandra),1.643E-12,+/-11.87E-13,erg/s/cm^2^,1.45E18,1.13E-7,8.19E-8,8.19E-8,,,+/-8.19E-08,Jy,2009A&A...506.1107G,uncertainty,6.00 keV,Broad-band measurement,12 30 49.42 +12 23 28.0 (J2000),Flux integrated from map,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
8,2-10 keV (XMM),1.8955E-11,+/-188.48E-13,erg/s/cm^2^,1.45E18,1.31E-6,1.3E-6,1.3E-6,,,+/-1.30E-06,Jy,2009A&A...506.1107G,uncertainty,6.00 keV,Broad-band measurement,12 30 49.42 +12 23 28.0 (J2000),Flux integrated from map,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
9,0.3-8 keV (Chandra),7.28E-12,,ergs/cm^2^/s,1.0E18,7.28E-7,,,,,,Jy,2004ApJ...617..915D,no uncertainty reported,4.15 keV,Broad-band measurement,,Total flux,Source flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,0.3-8 keV (Chandra),3.76E-12,,ergs/cm^2^/s,1.0E18,3.76E-7,,,,,,Jy,2004ApJ...617..915D,no uncertainty reported,4.15 keV,Broad-band measurement,,Total flux,AGN flux; power law,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,2-7 keV Chandra,3.661E-13,+/-3.6610E-13,erg/cm^2/s,9.19E17,3.98E-8,3.98E-8,3.98E-8,,,+/-3.98E-08,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
12,2-7 keV Chandra,2.0441E-12,+/-7.2472E-15,erg/cm^2/s,9.19E17,2.22E-7,7.89E-10,7.89E-10,,,+/-7.89E-10,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
13,2-7 keV Chandra,3.0862E-13,+/-3.0862E-13,erg/cm^2/s,9.19E17,3.36E-8,3.36E-8,3.36E-8,,,+/-3.36E-08,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
14,2-7 keV Chandra,2.1611E-12,+/-7.1800E-15,erg/cm^2/s,9.19E17,2.35E-7,7.81E-10,7.81E-10,,,+/-7.81E-10,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
15,0.5-5 keV (Chandra),1.2E-13,+/-0.4E-13,erg cm^-2^ s^-1^,6.65E17,1.8E-8,6.02E-9,6.02E-9,,,+/-6.02E-09,Jy,2006A&A...451...35B,90% confidence,2.75   keV,Broad-band measurement,,Flux integrated from map,Thermal component flux,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
16,0.5-5 keV (Chandra),1.3E-12,+/-0.2E-12,erg cm^-2^ s^-1^,6.65E17,1.95E-7,3.01E-8,3.01E-8,,,+/-3.01E-08,Jy,2006A&A...451...35B,90% confidence,2.75   keV,Broad-band measurement,,Flux integrated from map,Nuclear flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
17,0.5-7 keV Chandra,4.7279E-13,+/-4.7279E-13,erg/cm^2/s,5.56E17,8.5E-8,8.5E-8,8.5E-8,,,+/-8.50E-08,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
18,0.5-7 keV Chandra,2.66E-12,+/-6.1652E-15,erg/cm^2/s,5.56E17,4.78E-7,1.11E-9,1.11E-9,,,+/-1.11E-09,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
19,0.5-7 keV Chandra,3.7947E-13,+/-3.7947E-13,erg/cm^2/s,5.56E17,6.82E-8,6.82E-8,6.82E-8,,,+/-6.82E-08,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
20,0.5-7 keV Chandra,2.2809E-12,+/-5.8565E-15,erg/cm^2/s,5.56E17,4.1E-7,1.05E-9,1.05E-9,,,+/-1.05E-09,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
21,1.2-2 keV Chandra,4.2596E-14,+/-4.2596E-14,erg/cm^2/s,3.77E17,1.13E-8,1.13E-8,1.13E-8,,,+/-1.13E-08,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
22,1.2-2 keV Chandra,3.5851E-13,+/-1.6249E-15,erg/cm^2/s,3.77E17,9.5E-8,4.31E-10,4.31E-10,,,+/-4.31E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
23,1.2-2 keV Chandra,2.8811E-14,+/-2.8811E-14,erg/cm^2/s,3.77E17,7.64E-9,7.64E-9,7.64E-9,,,+/-7.64E-09,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
24,1.2-2 keV Chandra,3.1806E-13,+/-1.5736E-15,erg/cm^2/s,3.77E17,8.43E-8,4.17E-10,4.17E-10,,,+/-4.17E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
25,0.1-10 keV Chandra,2.2586E-12,+/-2.5484E-14,erg/cm^2/s,3.63E17,6.23E-7,7.03E-9,7.03E-9,,,+/-7.03E-09,Jy,2020CSC...C2..0000:,68% confidence,1.5        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
26,0.1-10 keV Chandra,2.2604E-12,+/-2.3678E-14,erg/cm^2/s,3.63E17,6.23E-7,6.53E-9,6.53E-9,,,+/-6.53E-09,Jy,2020CSC...C2..0000:,68% confidence,1.5        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
27,0.1-2.4 keV (ROSAT),1.05E-10,+/-1.99E-12,ergs sec^-1^ cm^-2^,3.25E17,3.23E-5,6.12E-7,6.12E-7,,,+/-6.12E-07,Jy,1994A&A...281..355B,based on count statistics only,1.3   keV,Broad-band measurement; synthetic band,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
