No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,50 GeV-2 TeV (Fermi),8.06E-12,+/-2.72E-12,erg/cm^2^/s,2.48E26,3.25E-15,1.1E-15,1.1E-15,,,+/-1.10E-15,Jy,2016ApJS..222....5A,1 sigma,1.025 TeV,Broad-band measurement,049.9670 +41.5219 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,0.01-1 TeV (Fermi),4.8E-11,+/-3.16E-12,erg/cm^2^/s,1.22E26,3.93E-14,2.59E-15,2.59E-15,,,+/-2.59E-15,Jy,2017ApJS..232...18A,1 sigma,0.51 TeV,Broad-band measurement,049.959995 +41.512283 (J2000),From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,400 GeV (Whipple),,<0.29E-11,erg cm^-2^ s^-1^,9.67E25,,,,3.0E-15,,<3.00E-15,Jy,2006ApJ...644..148P,90% confidence,400   GeV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data
4,100 MeV-100 GeV LAT,1.741E-10,+/-8.1E-12,erg/s/cm^2^,1.21E25,1.44E-12,6.69E-14,6.69E-14,,,+/-6.69E-14,Jy,2010ApJS..188..405A,uncertainty,50050 MeV,Broad-band measurement,049.941 +41.508 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,0.1-100 GeV (Fermi),1.737E-10,+/-6.2E-12,erg/cm^2^/s,1.21E25,1.44E-12,5.12E-14,5.12E-14,,,+/-5.12E-14,Jy,2012ApJS..199...31N,1 sigma,50.05 GeV,Broad-band measurement,049.965 +41.513 (J2000),Modelled datum,Variable,From new raw data; NED frequency assigned to mid-point ofband in keV
6,0.1-100 GeV (Fermi),1.991E-10,+/-3.9E-12,erg/cm^2^/s,1.21E25,1.65E-12,3.22E-23,3.22E-23,,,+/-3.22E-23,Jy,2015ApJS..218...23A,1 sigma,50.05 GeV,Broad-band measurement,049.959 +41.514 (J2000),From fitting to map,Variable; Gamma=2.08; Mod=LP,From new raw data; NED frequency assigned to mid-point ofband in keV
7,14-195 keV (Swift),6.85E-11,+/-0.28E-11,erg/s/cm^2^,2.53E19,2.71E-7,1.11E-8,1.11E-8,,,+/-1.11E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,049.960 +41.515 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,14-195 keV (Swift),1.15E-10,,erg/cm^2^/s,2.53E19,4.55E-7,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,049.9507 +41.5117 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,14-195 keV (Swift),7.34E-11,,erg/cm^2^/s,2.53E19,2.9E-7,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,14-195 keV (Swift),7.92E-11,,erg/cm^2^/s,2.53E19,3.13E-7,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,14-195 keV (Swift),8.264E-11,+/-81.17E-12,erg/s/cm^2^,2.53E19,3.27E-7,3.21E-7,3.21E-7,,,+/-3.21E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,049.94724583 +41.50730342 (J2000),From fitting to map,S/N = 67.34 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
12,15-150 keV (Swift),5.7E-11,+/-2.9e-12,erg/cm^2^/s,1.99E19,2.86E-7,1.46E-8,1.46E-8,,,+/-1.46E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,049.951 +41.501 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
13,14-150 keV (Swift),6.93E-11,,erg/cm^2^/s,1.98E19,3.5E-7,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
14,40-100 keV INTEGRAL,2.29E-11,+/-0.25E-11,erg cm^-2^ s^-1^,1.69E19,1.36E-7,1.48E-8,1.48E-8,,,+/-1.48E-08,Jy,2006ApJ...638..642B,uncertainty,70   keV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
15,40-100 keV INTEGRAL,1.5,+/-0.6,milliCrab,1.69E19,8.36E-8,3.34E-8,3.34E-8,,,+/-3.34E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,049.953 +41.517 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
16,40-100 keV INTEGRAL,4.0E-12,,erg/cm^2^/s,1.69E19,2.37E-8,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,49.95067 41.51170 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
17,20-100 keV INTEGRAL,3.759E-11,,erg/s/cm^2^,1.45E19,2.59E-7,,,,,,Jy,2009MNRAS.399..944M,no uncertainty reported,60.00 keV,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
18,20-50 keV (Swift),3.23E-11,,erg/cm^2^/s,8.46E18,3.82E-7,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
19,20-40 keV (INTEGRAL),1.89E-11,+/-0.21E-11,erg cm^-2^ s^-1^,7.25E18,2.61E-7,2.9E-8,2.9E-8,,,+/-2.90E-08,Jy,2006ApJ...638..642B,uncertainty,30   keV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
20,20-40 keV (INTEGRAL),3.1,+/-0.4,milliCrab,7.25E18,3.24E-7,4.18E-8,4.18E-8,,,+/-4.18E-08,Jy,2007ApJS..170..175B,uncertainty,30   keV,Broad-band measurement,049.953 +41.517 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
21,20-40 keV (INTEGRAL),2.2E-11,,erg/cm^2^/s,7.25E18,3.03E-7,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,30.00 keV,Broad-band measurement,49.95067 41.51170 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
22,10-20 keV (MAXI),2.3413E-10,+/-5.13E-12,erg/cm^2^/s,3.63E18,6.45E-6,1.41E-7,1.41E-7,,,+/-1.41E-07,Jy,2018ApJS..238...32K,1 sigma,15.00 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,Detection sig. = 45.60; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
23,4.5-12 keV (XMM),,,mW/m^2^,1.99E18,5.07E-6,,,,,,Jy,2017MNRAS.471.2952M,no uncertainty reported,8.25 keV,Broad-band measurement,03 19 48.16 +41 30 42.12 (J2000),Not reported in paper,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
24,4-10 keV (MAXI),6.0397E-10,+/-2.90E-12,erg/cm^2^/s,1.69E18,3.57E-5,1.72E-7,1.72E-7,,,+/-1.72E-07,Jy,2018ApJS..238...32K,1 sigma,7.00 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,Detection sig. = 200.1; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
25,3-10 keV (MAXI),7.9938E-10,+/-3.02E-12,erg/cm^2^/s,1.57E18,5.09E-5,1.92E-7,1.92E-7,,,+/-1.92E-07,Jy,2018ApJS..238...32K,1 sigma,6.50 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
26,2-10 keV (INTEGRAL),4.34E-11,+/-0.03E-11,erg cm^-2^ s^-1^,1.45E18,2.99E-6,2.07E-8,2.07E-8,,,+/-2.07E-08,Jy,2006ApJ...638..642B,uncertainty,6   keV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
27,2-10 keV (XMM),-10.91,,log(erg/cm^2^/s),1.45E18,8.48E-7,,,,,,Jy,2006A&A...455..173P,no uncertainty reported,6   keV,Broad-band measurement,03 19 48.2 +41 30 42.4 (J2000),Flux integrated from map,Nuclear flux,From new raw data; Extinction-corrected for internal andMilky Way; NED frequency assigned to mid-point of band in keV
28,2-10 keV (BeppoSAX),4.06E-10,+/-1.60E-11,erg/cm^2^/s,1.45E18,2.8E-5,1.1E-6,1.1E-6,,,+/-1.10E-06,Jy,2007A&A...472..705V,uncertainty,6.00 keV,Broad-band measurement,03 19 47.1 +41 31 01.2 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
29,2-10 keV (Chandra),3.02E-11,,erg/cm^2^/s,1.45E18,2.08E-6,,,,,,Jy,2011ApJ...738..147S,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
30,2-10 keV (Swift),5.344E-10,,erg/cm^2^/s,1.45E18,3.69E-5,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
31,2-10 keV (Swift),1.328E-10,,erg/cm^2^/s,1.45E18,9.16E-6,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
32,0.3-8 keV (Chandra),1.41E-11,,ergs/cm^2^/s,1.0E18,1.41E-6,,,,,,Jy,2004ApJ...617..915D,no uncertainty reported,4.15 keV,Broad-band measurement,,Total flux,Source flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
33,0.3-8 keV (Chandra),1.11E-11,,ergs/cm^2^/s,1.0E18,1.11E-6,,,,,,Jy,2004ApJ...617..915D,no uncertainty reported,4.15 keV,Broad-band measurement,,Total flux,AGN flux; power law,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
34,2-7 keV Chandra,3.4764E-13,+/-9.5228E-15,erg/cm^2/s,9.19E17,3.78E-8,1.04E-9,1.04E-9,,,+/-1.04E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
35,2-7 keV Chandra,2.9421E-13,+/-9.7242E-15,erg/cm^2/s,9.19E17,3.2E-8,1.06E-9,1.06E-9,,,+/-1.06E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
36,2-7 keV Chandra,1.5142E-12,+/-1.9934E-14,erg/cm^2/s,9.19E17,1.65E-7,2.17E-9,2.17E-9,,,+/-2.17E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var;ext,From new raw data; Uncorrected for known sources in beam
37,2-7 keV Chandra,1.5382E-12,+/-2.0489E-14,erg/cm^2/s,9.19E17,1.67E-7,2.23E-9,2.23E-9,,,+/-2.23E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90;var;ext,From new raw data; Uncorrected for known sources in beam
38,3-4 keV (MAXI),1.9541E-10,+/-0.85E-12,erg/cm^2^/s,8.46E17,2.31E-5,1.0E-7,1.0E-7,,,+/-1.00E-07,Jy,2018ApJS..238...32K,1 sigma,3.50 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,Detection sig. = 231.20; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
39,0.5-5 keV (Chandra),7.6E-13,+/-3.5E-13,erg cm^-2^ s^-1^,6.65E17,1.14E-7,5.26E-8,5.26E-8,,,+/-5.26E-08,Jy,2006A&A...451...35B,90% confidence,2.75   keV,Broad-band measurement,,Flux integrated from map,Thermal component flux,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
